name,groups,initial_tasks,seconds,seconds_per_notice,model_turns,search_rounds,failed_records,invalid_responses,context_failures,input_tokens,output_tokens,thinking_tokens,model_seconds,retrieval_seconds,complete_output_for_all_sampled_notices,relative_time,projected_200_prediction_seconds,projected_200_with_model_load_seconds
ungrouped,1,32,109.86469457699786,3.433271705531183,32,0,0,0,0,493397,52552,32692,109.62671345799754,0.0,True,1.0,686.6543411062366,713.4780710322366
groups7,7,224,544.8966436490009,17.02802011403128,225,0,0,1,0,2393973,253199,228897,543.7142967270229,0.0,True,4.9597065349061165,3405.6040228062557,3432.4277527322556
groups9,9,288,675.2500372289978,21.101563663406182,294,1,1,6,0,3116826,327497,294288,673.4914936280038,0.1721145340015937,False,6.146196827186861,4220.312732681236,4247.136462607236
groups12,12,384,854.3016778630008,26.696927433218775,390,1,0,5,0,4054143,427619,393398,852.2383169899949,0.009943965000275057,True,7.77594368374883,5339.385486643755,5366.209216569755
