run,input_bin,requests,mean_prefill,mean_decode,mean_queue,cached_fraction
pilot_barrier_8192,<=8K,22,0.7784927661811128,16.02773026545302,1.6557577621821442,0.03502661823971342
pilot_barrier_8192,8K..16K,13,1.3348983933067826,16.472433265692626,2.332469422230273,0.015832113628398852
pilot_barrier_8192,>16K,13,2.1951455290008406,16.88793839546046,2.1129761437679497,0.007780576924375764
pilot_continuous_2048,<=8K,22,0.3157736329984883,17.3766003006802,0.9779465085918094,0.03502661823971342
pilot_continuous_2048,8K..16K,13,0.7153154776147298,17.71601432692506,1.4214352860010246,0.015832113628398852
pilot_continuous_2048,>16K,13,1.7739157897673208,18.81101056161592,0.7810983349224373,0.007780576924375764
pilot_continuous_8192,<=8K,22,0.3326634636336662,17.399527932457037,0.5338210226360719,0.03502661823971342
pilot_continuous_8192,8K..16K,13,0.7435421267705701,18.6387218826925,0.4991470157681481,0.014512770826032282
pilot_continuous_8192,>16K,13,1.7378119217677381,19.03941401715565,0.05662554792406109,0.008428958334740411
pilot_continuous_16384,<=8K,22,0.5789320655014969,16.629367556591617,1.8088265261804652,0.03502661823971342
pilot_continuous_16384,8K..16K,13,0.937491765230124,16.755108945617955,2.6806785407679854,0.014512770826032282
pilot_continuous_16384,>16K,13,1.5745115038466442,17.857029830463805,3.9211848399998135,0.008428958334740411
six_continuous_8192,<=8K,90,0.26806309097802217,18.274368117533513,0.029759228599788103,0.03460993942045365
six_continuous_8192,8K..16K,58,0.6941260829304972,18.845251682086232,0.19370677584460094,0.016779742876198798
six_continuous_8192,>16K,52,1.6052164769238375,19.256584456941848,0.27622825330735606,0.00845069707247336
mixed_continuous_8192,<=8K,454,0.14078343487240833,5.576247876804332,0.022587223583242614,0.5489896668490888
mixed_continuous_8192,8K..16K,293,0.2937292165187789,5.631523622637891,0.048256915464308735,0.5452375106058653
mixed_continuous_8192,>16K,258,0.7104300216087722,6.332780996876011,0.06223361637600555,0.5593670229986809
